"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"83","03","PATH","19831",,,,,"83","03","PATH","19831","F",,"83","03","09",6.00,42.00,"AM","09",0.00,0.00,0.00,0.00,"TRACK N","JOURNAL SQUARE",,"34",40.00,"2","3","005","E","755","3",0.00,"8","Y","TRACK N","3",,"3","PATH","000755","001","N","PATH","000755","001","N",7.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9800.00,"H521",,0.00,1.00,0.00,1.00,"H521","3","3","005",9800.00,,"34C017",1.00,"000000",0.00,"1","0","0","0","01","42",,,"1","1",,"3L","0","SYSTEM","N",612.00,,"1983",0.00,1.00,0.00,0.00,0.00,0.00,"HUDSON","017","00","00",,"N",,,"AT APPROXIMATELY 6:42 AM, WEDNESDAY, MARCH 9, 1983, THE MOTORSWITCHMEN OPERATING A SEVEN (7) CAR CON","SIST MOVING EAST ON TRACK N STRUCK THE BUMPING BLOCK. THE BUMPER WAS WEDGED UNDER THE CAR AND PLOWED","THE ROADBED FOR A DISTANCE OF FIVE(5) FEET RAISING EIGHTY(80) FEET OF TRACK, DEMOLISHING THE BUMPER",", BENDING THE FOUR(4) RAILS, CRUSHING TEN TIES AND DAMAGING THE POWER RAIL. INSPECTION OF THE TRACK","AREA AHEAD OF POINT OF IMPACT INDICATED NO DEFECTS IN THE TRACK STRUCTURE. THE CAUSE OF THE INCIDENT","WAS ATTRIBUTED TO HUMAN ERROR. THE MOTORSWITCHMAN DID NOT USE PROPER JUDGEMENT IN THE USE OF THE DY","NAMIC BRAKE.",,,,,,,,,,,,,,,,,
,"83","03","PW","830301",,,,,"83","03","PW","830301","F",,"83","03","02",2.00,13.00,"AM","01",0.00,0.00,0.00,0.00,,"HOPE AVENUE","67.7","25",40.00,"4","3","010","E","WONR","2",900.00,"1","Y","NORWICH BRANCH","3",,"1","PW","002007",,,,,,,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18000.00,7214.00,"T311","M503",0.00,0.00,0.00,0.00,"T311","1","3","010",25214.00,,"25C027",0.00,"000000",0.00,"1","0","1","0","06","13","06","13","1","1",,"2L","0","??????","N",305.00,"702","1983",0.00,0.00,0.00,0.00,0.00,0.00,"WORCESTER","027","00","00",,"N",,,"TRAIN WONR DEPARTING WORCESTER YARD LIMITS DERAILED AT A POINT SWITCH. INVESTIGATION FOUND THAT A BA","R HAD BEEN PLACED AT THE SWITCH POINT IN SUCH A WAY THAT THE TRAIN WAS TRAVELING NORTHBOUND IT FORCE","D THE BAR TO OPEN THE POINTS. ON THE WAY SOUTHBOUND THE LEAD ENGINE SPLIT THE SWITCH POINTS AND DERA","ILED.",,,,,,,,,,,,,,,,,,,,
,"83","03","SB","39",,,,,"83","03","SB","39","F",,"83","03","22",3.00,15.00,"PM","01",0.00,0.00,0.00,0.00,"SYSTEM","LACKAWANNA",,"36",45.00,"2","2","005","E","202","1",0.00,"7","Y","#703","1",,"2","SB","000085","001","N",,,,,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,8.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,750.00,4190.00,"E39C",,0.00,0.00,0.00,0.00,"E39C","2","1","005",4940.00,,"36C029",0.00,"000000",0.00,"1","1","1","2","00","45","00","45","1","1",,"3S","0","SYSTEM","N",158.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"ERIE","029","00","00",,"N",,,"CREW WAS SHOVING 14 CARS NORTH FROM TRACK 705 TO TRACK 423 WHEN LOCOMOTIVE 85 DERAILED AT THE 703 CR","OSSOVER DUE TO LACK OF LATERAL MOVEMENT IN COUPLER SYSTEM.",,,,,,,,,,,,,,,,,,,,,,
,"83","03","ICG","19894",,,,,"83","03","TRRA","65737","F",,"83","03","10",3.00,13.00,"AM","01",0.00,0.00,0.00,0.00,"MIDWEST","E. ST. LOUIS","G01","17",30.00,"4","6","005","E","SLX","2",3619.00,"1","Y","TRK 15","3","0001.3","1","DODX","039157","041","N",,,,,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,24.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,760.00,0.00,"T102",,0.00,0.00,0.00,0.00,"T102","1","3","005",12401.00,,"17C163",0.00,"000000",0.00,"1","0","1","2","02","00","02","00","1","4","S","1L","0","MIDWES","N",132.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"ST CLAIR","163","00","00",,"N",,,"SLX PROCEEDING SOUTHWARD THRU ""Q"" TOWER DERAILED 3 CARS ON TRRA NO. 15 TRACK ACCOUNT CROSS LEVEL OF","TRACKS IRREGULAR, NOT AT JOINTS.",,,,,,,,,,,,,,,,,,,,,,
,"83","03","TRRA","65737","83","03","ICG","19894","83","03","TRRA","65737","F",,"83","03","10",3.00,0.00,"AM","01",0.00,0.00,0.00,0.00,"SYSTEM","CD",,"17",21.00,"4","2","000",,,,0.00,,,"#7",,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11641.00,"H503",,0.00,0.00,0.00,0.00,"T102","1","3","005",12401.00,,"17C163",0.00,"000000",0.00,,,,,,,,,"2","4",,"3S","0","SYSTEM","F",53.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"ST CLAIR","163","00","00",,"N",,,"ICG TRAIN WITH 25X40 DERAILED 3 CARS DUE TO CODE 570.",,,,,,,,,,,,,,,,,,,,,,,
,"83","03","TRRA","65750","83","03","SSW","M0973","83","03","TRRA","65750","F",,"83","03","29",9.00,57.00,"AM","01",0.00,0.00,0.00,0.00,"SYSTEM","MADISON",,"17",45.00,"2","2","000",,,,0.00,,"Y","CP JCT","1",,"1",,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29000.00,"E07C",,0.00,0.00,0.00,0.00,"E07C","1","1","008",32550.00,,"17C119",0.00,"000000",0.00,"1",,"1","2",,,,,"2","4",,"3S","0","SYSTEM","F",155.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"MADISON","119","00","00",,"N",,,"SWRI MOVING FROM SSW YARD AT VALLEY JCT. TO SWRI YARD C/AVE ON E/B MAIN CROSSING OVER TO W/B MAIN AT","CP JCT DERAILED AT FACING POINT SWITCH DUE TO CODE 407.",,,,,,,,,,,,,,,,,,,,,,
,"83","03","SBD","038309601","83","03","TVA","INDUSTRY","83","03","TVA","INDUSTRY","F",,"83","03","02",1.00,45.00,"PM","02",0.00,0.00,0.00,0.00,"NASHVILLE","BRIDGEPORT","J119","01",70.00,"2","1","000","E","M533","2",1175.00,"1","Y",,,,"4","LN","004114","001",,,,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,26.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,30840.00,0.00,"H206",,0.00,0.00,0.00,0.00,"H206","4","0","000",30840.00,,"01C071",0.00,"000000",0.00,"1","0","1","2","06","15","06","15","1","3",,"1L","0","NASHVI","GI",156.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"JACKSON","071","00","00",,"N",,,"TRAIN M-533 WAS COMING SOUTH ON TVA TRACK WITH 30 CARS. OUR TRAIN STOPPED WHEN IT SAW TVA ENGINE APP","ROACHING WITH ABOUT 30 EMPTIES. TRAINS COLLIDED HEAD ON.",,,,,,,,,,,,,,,,,,,,,,
,"83","03","SSW","K1513",,,,,"83","03","SSW","K1513","F",,"83","03","31",2.00,30.00,"AM","01",0.00,0.00,0.00,0.00,"COTTON BELT","TYLER","547.0","48",48.00,"4","1","004","E","2718","1",990.00,"7","Y","SOUTH LOOP","1",,"2","MKT","000477","011","Y",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,225.00,6700.00,"T110",,0.00,0.00,0.00,0.00,"T110","2","1","004",6925.00,,"48C423",0.00,"000000",0.00,"1","1","1","2","02","31","02","31","1","5","W","1L","0","COTBEL","N",59.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"SMITH","423","00","00",,"N",,,"DURING SWITCHING MOVE RAIL SPREAD CAUSING 3 CARS TO DERAIL.",,,,,,,,,,,,,,,,,,,,,,,
,"83","03","SSW","M0713",,,,,"83","03","SSW","M0713","F",,"83","03","11",10.00,29.00,"PM","01",0.00,0.00,0.00,0.00,"KANSAS CITY","LATIMER","163.8","20",30.00,"4","1","049","E","01KC","4",6080.00,"1","Y","MAIN","1","0062.0","1","SP","244543","052","Y",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00,20.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,43800.00,18700.00,"T211",,0.00,0.00,0.00,0.00,"T211","1","1","049",62500.00,,"20C041",0.00,"000000",0.00,"1","0","1","2","07","29","07","29","1","6","W","1L","0","KANCIT","E",74.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"DICKINSON","041","00","00",,"N",,,"SP 244543 DERAILED ACCOUNT BROKEN RAIL CASING 4 ADDITIONAL CARS TO DERAIL.",,,,,,,,,,,,,,,,,,,,,,,
,"83","03","SSW","M0743",,,,,"83","03","SSW","M0743","F",,"83","03","15",11.00,40.00,"AM","01",0.00,0.00,0.00,0.00,"KANSAS CITY","DALHART","545.0","48",50.00,"2","2","005","E","0154","4",5330.00,"7","Y","TRK 2,3,4","1",,"2","PLCX","018735","025","Y","NAHX","477616","028","Y",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,1.00,0.00,1.00,6.00,0.00,1.00,0.00,1.00,11250.00,12900.00,"E69C",,0.00,0.00,0.00,0.00,"E69C","2","1","005",24150.00,,"48C111",0.00,"000000",0.00,"1","0","1","2","06","40","06","40","1","5","W","1L","0","KANCIT","N",81.00,,"1983",0.00,0.00,0.00,0.00,0.00,0.00,"DALLAM","111","00","00",,"N",,,"HOPPER CAR LOADED WITH CORN CLIMBED THE RAIL AND DERAILED 7 CARS AND ONE CABOOSE.",,,,,,,,,,,,,,,,,,,,,,,
