"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"86","02","NW","X190286005",,,,,"86","02","NW","X190286005",,"474874M","86","02","07",7.00,45.00,"AM","07",0.00,0.00,0.00,0.00,"DECATUR","BOSWELL","286.4","18",26.00,"2","2","035","E","FP65","4",1047.00,"1","Y","SINGLE MAINLINE","4","000.50","1","NW","001332","002",,,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,891.00,4205.00,"M399",,1.00,1.00,1.00,1.00,"M399","1","4","035",5096.00,,"18C007",0.00,"000000",0.00,"1","0","1","3","02","45","02","45","1","4","E","1L","0","DECATU","OIM",98.00,,"1986",0.00,0.00,0.00,0.00,1.00,1.00,"BENTON","007",,,,"N",,,"PICKUP TRUCK SOUTHBOUND ON HIGHWAY 71 SLID ON SNOW AND THROUGH GATE STRIKING SECOND UNIT OF FP-65.",,,,,,,,,,,,,,,,,,,,,,,
,"86","11","CSRR","COAWV1003",,,,,"86","11","CSRR","COAWV1003",,,"86","11","30",3.00,10.00,"AM","01",0.00,0.00,0.00,0.00,"WEST VIRGINIA","JIM","23.3","21",36.00,"4","4","011","R","4158","4",122.00,"1","Y","STINSON","1",,"4","CO","192442","030","Y",,,,,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,122.00,0.00,1.00,0.00,1.00,8.00,0.00,0.00,0.00,0.00,14350.00,2000.00,"T101",,0.00,0.00,0.00,0.00,"T101","4","1","011",16350.00,,"21C119",0.00,"000000",0.00,"1","0","1","2","07","00","07","00","1","3","E","1L","0","WVIRGI","M",93.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"KNOTT","119",,,,"N",,,"EXTRA 4158 HEADED AND MOVING WEST ON STINSON MINE EXT. WHEN THE 28TH THRU 35TH CARS DERAILED.",,,,,,,,,,,,,,,,,,,,,,,
,"86","12","UP","1286GU201",,,,,"86","12","UP","1286GU201",,,"86","12","10",5.00,30.00,"PM","01",3.00,0.00,0.00,0.00,"GULF","CRAIG JCT","235.9","48",61.00,"2","1","050","E","RS10","2",4655.00,"1","Y","MAIN","4","007.89","1","CR","237433","037","N",,,,,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,12.00,0.00,0.00,15.00,0.00,3.00,0.00,0.00,155000.00,100000.00,"M599",,0.00,0.00,0.00,0.00,"M599","1","4","050",255000.00,,"48C029",0.00,"000000",0.00,"1","0","1","2","03","15","03","15","1","5","W","1L","1","GULF","IM",48.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"BEXAR","029",,,,"N",,,"CAUSE UNKNOWN AT THIS TIME. UNDER INVESTIGATION.",,,,,,,,,,,,,,,,,,,,,,,
,"86","12","UP","1286GU202",,,,,"86","12","UP","1286GU202",,,"86","12","18",12.00,30.00,"PM","01",0.00,0.00,0.00,0.00,"GULF","CRAIG JCT","236.0","48",55.00,"2","1","003","E",,"2",300.00,"4","Y","MAIN","4","007.89","1","BO","492353","008","Y",,,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,12000.00,"E46C",,0.00,0.00,0.00,0.00,"E46C","1","4","003",12000.00,,"48C029",0.00,"000000",0.00,"1","0","1","2","05","30","05","30","1","5","W","1L","0","GULF","IM",87.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"BEXAR","029",,,,"N",,,"RIGID TRUCK ON BEND OF BO 492353 CAUSED CAR TO DERAIL AND BROKE CRAIG JCT POWER SWITCH.",,,,,,,,,,,,,,,,,,,,,,,
,"86","12","SP","35376",,,,,"86","12","SP","35376",,,"86","12","04",6.00,50.00,"AM","12",0.00,0.00,0.00,0.00,"OREGON","EUGENE","648.9","41",35.00,"4","2","005","E","8328","3",0.00,"8","Y","RHSE LEAD","1",,"2","SP","008328","001","Y",,,,,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"H601",,0.00,0.00,0.00,0.00,"H601","2","1","005",7407.00,,"41C039",0.00,"000000",0.00,"1","1","0","0","11","20",,,"3","8","W","1L","0","OREGON","N",166.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"LANE","039",,,,"N",,,"LIGHT ENGINES COUPLED INTO STANDING LOCO CONSIST AT EXCESSIVE SPEED CAUSING RAIL TO SPREAD ON CURVE","SUBSEQUENT MOVEMENT OVER WIDE GAUGE RESULTED IN 3 UNITS DERAILING.",,,,,,,,,,,,,,,,,,,,,,
,"86","11","CSRR","CTACH0565",,,,,"86","11","CSRR","CTACH0565",,,"86","11","08",11.00,40.00,"PM","01",0.00,0.00,0.00,0.00,"CHICAGO","BARR YARD","12.2","17",50.00,"4","1","000","E","3026","4",0.00,"6","Y","WOR",,,"2","GATX","015227","029","Y",,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,26.00,0.00,0.00,2.00,0.00,3.00,0.00,0.00,15000.00,3800.00,"H702",,0.00,0.00,0.00,0.00,"H702","2","0","000",18800.00,,"17C031",0.00,"000000",0.00,"1","0","1","2","01","00","01","00","1","4","E","1L","0","CHICAG","N",87.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031",,,,"N",,,"RUN 75 PULLED C-1 66 CARS RAN THROUGH CAB. TRK SWITCH SHOVED BACK & DERAILED FIVE CARS.",,,,,,,,,,,,,,,,,,,,,,,
,"86","11","CSRR","CTACH0566",,,,,"86","11","CSRR","CTACH0566",,,"86","11","08",1.00,15.00,"PM","01",0.00,0.00,0.00,0.00,"CHICAGO","ROLL","13.7","17",60.00,"2","2","002","E","6905","3",1500.00,"7","Y","SCALE TRACK",,,"2","UTLX","079446","001","Y",,,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,5.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,11500.00,100.00,"H310",,0.00,0.00,0.00,0.00,"H310","2","0","002",11600.00,,"17C031",0.00,"000000",0.00,"1","0","1","2","05","00","05","00","1","4","E","1L","0","CHICAG","N",129.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"COOK","031",,,,"N",,,"RUN 11 SHOVED SCALE TRACK WITHOUT HAVING THE TRACK COUPLED RESULTING IN 9 LDS ROLLING EASTWARD STRIK","ING C-3 TRK DERAILING 3 CARS.",,,,,,,,,,,,,,,,,,,,,,
,"86","12","UP","1286TX202",,,,,"86","12","UP","1286TX202",,,"86","12","31",3.00,15.00,"AM","01",3.00,0.00,0.00,0.00,"TEXAS","COLLINSVILLE","179.0","48",35.00,"4","1","050","E","KC29","2",11775.00,"1","Y","MAIN","4","011.64","1","MP","366218","087","Y",,,,,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,28.00,0.00,1.00,7.00,0.00,1.00,0.00,0.00,164200.00,8800.00,"E00C",,0.00,0.00,0.00,0.00,"E00C","1","4","050",173000.00,,"48C121",0.00,"000000",0.00,"1","1","1","2","04","45","04","45","1","5","W","1L","1","TEXAS","IM",74.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"DENTON","121",,,,"N",,,"UNDESIRED EMERGENCY DUE TO AIR HOSES UNCOUPLING BETWEEN 79TH AND 80TH CAR.",,,,,,,,,,,,,,,,,,,,,,,
,"86","12","UP","1286WY201",,,,,"86","12","UP","1286WY201",,,"86","12","01",1.00,45.00,"PM","01",0.00,0.00,0.00,0.00,"WYOMING","GREEN RIVER","817.0","56",40.00,"2","1","004","E","3028","4",0.00,"7","Y","BITTER CREEK LEAD","2",,"2","PLMX","011117","004","N",,,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,9900.00,1000.00,"H307",,0.00,0.00,0.00,0.00,"H307","2","2","004",10900.00,,"56C037",0.00,"000000",0.00,"1","0","1","2","06","15","06","15","1","8","W","1L","0","WYOMIN","N",190.00,,"1986",0.00,0.00,0.00,0.00,0.00,0.00,"SWEETWATER","037",,,,"N",,,"7:30AM SWITCHER WITH CUT OF 5 CARS FOR #17 RAIL, BEGAN SHOVING BACK WITH NEXT CUT BEFORE IT HAD CLEA","RED, RESULTING IN CORNERING ACTION WITH ACTX 944488 STRIKING PLMX 11113. NO PI'S INCURRED.",,,,,,,,,,,,,,,,,,,,,,
,"86","12","SP","85426",,,,,"86","12","SP","85426",,"754866U","86","12","15",7.00,17.00,"AM","07",0.00,0.00,0.00,0.00,"WESTERN","SAN BRUNO","10.4","06",58.00,"2","2","055","E","29","4",0.00,"2","Y","MAIN","3",,"1","CT","004019","001","Y",,,,,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50000.00,1300.00,"M399",,0.00,1.00,0.00,1.00,"M399","1","3","055",51300.00,,"06C075",1.00,"000060",0.00,"1","1","1","3","01","36","01","21","1","7","W","1L","0","WESTER","GI",41.00,,"1986",0.00,1.00,0.00,0.00,0.00,0.00,"SAN FRANCISCO","075",,,,"Y",,,"TRAIN 29 STRUCK VEHICLE STALLED ON TRACK.",,,,,,,,,,,,,,,,,,,,,,,
